rapidez, referencia, distancia, pid,0.577978922351,0.33,1.005312,-10,
rapidez, referencia, distancia, pid,0.527978922351,0.33,1.005312,-10,
rapidez, referencia, distancia, pid,0.477978922351,0.33,1.005312,-10,
rapidez, referencia, distancia, pid,0.427978922351,0.33,1.005312,-10,
rapidez, referencia, distancia, pid,0.377978922351,0.33,1.005312,-10,
rapidez, referencia, distancia, pid,0.377978922351,0.33,1.005312,11.7783931823,
rapidez, referencia, distancia, pid,0.377978922351,0.33,1.005312,7.96820011619,
rapidez, referencia, distancia, pid,0.377978922351,0.33,1.005312,4.15800705011,
rapidez, referencia, distancia, pid,0.377978922351,0.33,1.005312,0.347813984038,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,-3.46237908204,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.327978922351,0.33,1.005312,100,
rapidez, referencia, distancia, pid,0.460899968455,0.33,1.130976,-10,
rapidez, referencia, distancia, pid,0.410899968455,0.33,1.130976,-10,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,-10,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,11.1390954065,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,8.68520857909,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,6.23132175172,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,3.77743492435,
rapidez, referencia, distancia, pid,0.360899968455,0.33,1.130976,1.32354809698,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,-1.13033873039,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.310899968455,0.33,1.130976,100,
rapidez, referencia, distancia, pid,0.558433331359,0.33,1.25664,-10,
rapidez, referencia, distancia, pid,0.508433331359,0.33,1.25664,-10,
rapidez, referencia, distancia, pid,0.458433331359,0.33,1.25664,-10,
rapidez, referencia, distancia, pid,0.408433331359,0.33,1.25664,-10,
rapidez, referencia, distancia, pid,0.358433331359,0.33,1.25664,-10,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,-55.3456707824,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,83.3680223606,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,85.0807155035,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,86.7934086465,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,88.5061017894,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,90.2187949323,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,91.9314880753,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,93.6441812182,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,95.3568743612,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,97.0695675041,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,98.7822606471,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,100,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,100,
