rapidez, referencia, pid,0.336809671681,0.33,-10,
rapidez, referencia, pid,0.286809671681,0.33,-82.0147982823,
rapidez, referencia, pid,0.286809671681,0.33,58.4161138837,
rapidez, referencia, pid,0.286809671681,0.33,61.8460260497,
rapidez, referencia, pid,0.286809671681,0.33,65.2759382157,
rapidez, referencia, pid,0.286809671681,0.33,68.7058503818,
rapidez, referencia, pid,0.286809671681,0.33,72.1357625478,
rapidez, referencia, pid,0.286809671681,0.33,75.5656747138,
rapidez, referencia, pid,0.286809671681,0.33,78.9955868798,
rapidez, referencia, pid,0.286809671681,0.33,82.4254990458,
rapidez, referencia, pid,0.286809671681,0.33,85.8554112118,
rapidez, referencia, pid,0.286809671681,0.33,89.2853233779,
rapidez, referencia, pid,0.286809671681,0.33,92.7152355439,
rapidez, referencia, pid,0.286809671681,0.33,96.1451477099,
rapidez, referencia, pid,0.286809671681,0.33,99.5750598759,
rapidez, referencia, pid,0.286809671681,0.33,100,
rapidez, referencia, pid,0.286809671681,0.33,100,
rapidez, referencia, pid,0.286809671681,0.33,100,
rapidez, referencia, pid,0.286809671681,0.33,100,
rapidez, referencia, pid,0.414419158078,0.33,-10,
rapidez, referencia, pid,0.364419158078,0.33,-10,
rapidez, referencia, pid,0.314419158078,0.33,-10,
rapidez, referencia, pid,0.314419158078,0.33,18.7693366767,
rapidez, referencia, pid,0.314419158078,0.33,20.0066720095,
rapidez, referencia, pid,0.314419158078,0.33,21.2440073423,
rapidez, referencia, pid,0.314419158078,0.33,22.4813426751,
rapidez, referencia, pid,0.314419158078,0.33,23.718678008,
rapidez, referencia, pid,0.314419158078,0.33,24.9560133408,
rapidez, referencia, pid,0.314419158078,0.33,26.1933486736,
rapidez, referencia, pid,0.314419158078,0.33,27.4306840064,
rapidez, referencia, pid,0.314419158078,0.33,28.6680193392,
rapidez, referencia, pid,0.314419158078,0.33,29.905354672,
rapidez, referencia, pid,0.314419158078,0.33,31.1426900048,
rapidez, referencia, pid,0.314419158078,0.33,32.3800253377,
rapidez, referencia, pid,0.314419158078,0.33,33.6173606705,
rapidez, referencia, pid,0.314419158078,0.33,34.8546960033,
rapidez, referencia, pid,0.314419158078,0.33,36.0920313361,
rapidez, referencia, pid,0.314419158078,0.33,37.3293666689,
rapidez, referencia, pid,0.314419158078,0.33,38.5667020017,
rapidez, referencia, pid,0.468503197016,0.33,-10,
rapidez, referencia, pid,0.418503197016,0.33,-10,
rapidez, referencia, pid,0.368503197016,0.33,-10,
rapidez, referencia, pid,0.318503197016,0.33,-10,
rapidez, referencia, pid,0.268503197016,0.33,-7.76556401405,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
